"","symbol","logFC"
"688","AL121827.1",-4.07305710675796
"689","LRIT2",5.16900751700887
"690","TCEAL6",-4.24453361253329
"691","CLPSL1",3.00166373715551
"692","SMIM5",-3.58828544952289
"693","AL590644.1",4.18988629596331
"694","MCCD1",-3.33314866205072
"695","PSORS1C2",3.88850129101809
"696","CDSN",3.68067657676588
"697","PSORS1C1",3.42617455442155
"698","ASPDH",-3.43560473680796
"699","C9orf57",3.14389910464017
"700","KRT25",4.54388246508571
"701","ERICH4",-3.43396261284861
"702","LINC02138",-3.34256970867282
"703","SYCE1L",3.54925881041636
"704","CCNI2",-3.27744738459247
"705","MUC12",5.98091199552942
"706","CTXN3",-4.29724513870807
"707","MT1H",-7.51731329969784
"708","AL592528.1",3.46889668139479
"709","KRT81",3.19563102400455
"710","IFITM5",3.94992859200765
"711","P2RX6P",3.29419521168387
"712","RNU1-138P",3.0065570986538
"713","RNU6-35P",-4.16576366264699
"714","MIR509-1",3.47216623330369
"715","GPX3",-3.31485894849077
"716","DIO1",-3.19407171012623
"717","TRAV8-2",-3.45008077919314
"718","MIR509-3",3.34232441701776
"719","RNA5SP18",3.47232255234095
"720","HMGN2P8",3.24960244433647
"721","AL009178.1",-3.59209457131983
"722","EEF1DP5",4.60675275160599
"723","TCL1B",-3.36618012885369
"724","VDAC2P3",-5.13916342334863
"725","NDUFAF4P2",3.64475191250873
"726","AKR1B10P1",4.67465654500881
"727","SLC16A14P1",-3.71907083595308
"728","AC019080.1",-3.42013092070877
"729","TMEM213",-4.69175750950955
"730","LINC00887",3.46025272029567
"731","KRT42P",3.41558147397175
"732","AC004870.1",-4.06572459783259
"733","FER1L6",-3.335399146798
"734","APOC1P1",4.74013535992711
"735","UBE2QL1",-3.14629282942055
"736","LINC01020",-6.07129884125472
"737","RNF212B",-4.40634292572633
"738","TMCO5B",3.3690116412621
"739","SIAH3",-5.08024348423084
"740","CES5AP1",4.24953765356207
"741","GCGR",-3.57198180883789
"742","LINC00955",-4.96634890885257
"743","LY86-AS1",-3.31398177036665
"744","SP9",3.00919896786846
"745","ASS1P9",-3.18302718248693
"746","AC099552.1",-3.1223779345472
"747","AC093802.1",-3.49024604939856
"748","LL22NC03-63E9.3",3.17921007424161
"749","RNU6ATAC40P",3.56220370854294
"750","MAGEA3",4.71825785020121
"751","AL158817.1",-5.16345788167044
"752","LINC00473",-5.24114372153965
"753","LMO7DN-IT1",3.11376580510029
"754","AL353801.1",-3.74556648012209
"755","AL135785.1",-4.72813326218049
"756","UQCRFS1P2",-3.64133190892621
"757","AL020994.1",-4.02838016287418
"758","LINC01983",-6.21887776306268
"759","LINP1",4.01865994081647
"760","MYCNUT",-3.58626962137907
"761","LINC02471",3.30060405694303
"762","LINC01874",-4.39609582385745
"763","LINC02561",3.31100388056949
"764","LINC01857",3.23191233058229
"765","LINC01991",-4.85685412575559
"766","VSTM2A-OT1",6.90595683673021
"767","AL391427.1",3.18191182523763
"768","AP000697.1",-3.88998941367999
"769","AL355388.1",3.41222083061898
"770","SMIM25",3.54769675436019
"771","AL109933.1",-4.47499453532455
"772","AL136361.1",-3.0169676174494
"773","DUX4L9",3.57143339574746
"774","KRT8P30",3.26995536817322
"775","CASC6",3.46858780963081
"776","AL512363.1",-3.35287825063747
"777","LINC01526",3.44999732028883
"778","LINC01802",-4.28418044856162
"779","AL162457.2",3.20291597437855
"780","AC092484.1",3.35065154444797
"781","LINC00237",-3.26069919369269
"782","AL121987.1",-3.74411499999702
"783","AL158013.1",4.61135923941499
"784","ASS1P11",-4.13014204961482
"785","TDGF1P3",-3.08112149253707
"786","AC243962.1",3.33458531509273
"787","AL136366.1",3.88338848540641
"788","LINC00475",4.58488963508583
"789","AL606519.1",-3.09538723801027
"790","AP001046.1",-3.4624161880112
"791","AC064875.1",-3.18070455017596
